# PALETTES 12/16
# 0 = Dark
# 1 = Red
# 2 = Blue
# 3 = Purple
# 4 = Green
# 5 = Yellow
# 6 = Zombie
# 7 = Cadence
# 8 = Tile_Dirt
# 9 = Tile_Stone
# 10 = Tile_Grey
# 11 = Tile_Gold
# 10 to 15 unused
#
# Format:
# Name, cellX, cellY, paletteIndex
#
# UI Elements (3)
shovel, 0, 3, 0
dagger, 1, 3, 0
# Characters (4)
cadence_0, 00, 4, 7
cadence_1, 10, 4, 7
git_ekimekim_0, 01, 4, 0
git_ekimekim_1, 11, 4, 0
git_sleepyparadox_0, 02, 4, 7
git_sleepyparadox_1, 12, 4, 7
# Bat (5)
bat_0, 00, 5, 0
bat_1, 10, 5, 0
bat_red_0, 01, 5, 1
bat_red_1, 11, 5, 1
direbat_small_0, 02, 5, 5
direbat_small_1, 12, 5, 5
direbat_grey_small_0, 03, 5, 3
direbat_grey_small_1, 13, 5, 3
# Ghost (6)
ghost, 00, 6, 0
# Monkey (7)
monkey_0, 00, 7, 3
monkey_1, 10, 7, 3
monkey_white_0, 01, 7, 2
monkey_white_1, 11, 7, 2
# Skeleton (8)
skeleton_0, 00, 8, 2
skeleton_1, 10, 8, 2
skeleton_yellow_0, 01, 8, 5
skeleton_yellow_1, 11, 8, 5
skeleton_black_0, 02, 8, 0
skeleton_black_1, 12, 8, 0
# Slime (9)
slime_green_0, 00, 9, 4
slime_green_1, 10, 9, 4
slime_blue_0, 01, 9, 2
slime_blue_1, 11, 9, 2
slime_yellow_0, 02, 9, 5
slime_yellow_1, 12, 9, 5
# Wraith (10)
wraith_0, 00, 10, 1
wraith_1, 10, 10, 1
# Zombie (11)
zombie_0, 00, 11, 6
zombie_1, 10, 11, 6
# Tile Dirt (12)
tile_dirt, 0, 12, 8
tile_dirt_wall, 1, 12, 8
# Tile None (13)
tile_none, 0, 13, 8
tile_none_wall, 1, 13, 10
# Tile Stairs + Stone (14)
stairs, 0, 14, 9
tile_stone, 1, 14, 9
# Tile Shop (15)
tile_shop_wall, 1, 15, 11
# Dragon Big 32x32 (20, 21)
# not sure if this is correct way to break up big sprites?
dragon_green00_0, 0, 20, 4
dragon_green10_0, 1, 20, 4
dragon_green01_0, 0, 21, 4
dragon_green11_0, 1, 21, 4
dragon_green00_1, 10, 20, 4
dragon_green10_1, 11, 20, 4
dragon_green01_1, 10, 21, 4
dragon_green11_1, 11, 21, 4
# Dragon Small (16x16)
dragon_green_small_0, 2, 21, 4
dragon_green_small_1, 12, 21, 4
# FX Fire (20)
fx_fire_0, 02, 20, 1
fx_fire_1, 12, 20, 1
